idNumber,communityId
0,26
1,20
2,2
3,8
4,48
5,55
6,18
7,2
8,22
9,22
10,3
11,18
12,21
13,24
14,5
15,3
16,28
17,44
18,5
19,22
20,29
21,19
22,23
23,2
24,1
25,3
26,25
27,4
28,14
29,58
30,0
31,0
32,17
33,20
34,52
35,23
36,39
37,21
38,21
39,16
40,0
41,7
42,45
43,0
44,8
45,5
46,12
47,48
48,4
49,0
50,16
51,11
52,1
53,2
54,0
55,18
56,14
57,19
58,56
59,10
60,4
61,9
62,3
63,28
64,31
65,1
66,5
67,9
68,0
69,6
70,54
71,2
72,0
73,30
74,24
75,1
76,33
77,37
78,11
79,3
80,2
81,2
82,13
83,9
84,25
85,9
86,2
87,5
88,1
89,5
90,44
91,7
92,0
93,0
94,25
95,3
96,15
97,54
98,0
99,11
100,3
101,56
102,34
103,47
104,16
105,34
106,29
107,10
108,0
109,0
110,18
111,7
112,54
113,18
114,41
115,4
116,15
117,11
118,17
119,20
120,30
121,3
122,14
123,6
124,59
125,14
126,7
127,0
128,0
129,49
130,11
131,34
132,19
133,3
134,6
135,13
136,2
137,8
138,1
139,54
140,7
141,2
142,26
143,2
144,0
145,40
146,22
147,11
148,16
149,9
150,35
151,11
152,23
153,7
154,36
155,21
156,2
157,53
158,5
159,9
160,29
161,6
162,8
163,10
164,36
165,21
166,41
167,32
168,1
169,5
170,54
171,0
172,4
173,9
174,1
175,0
176,4
177,2
178,1
179,40
180,13
181,56
182,38
183,0
184,0
185,28
186,6
187,6
188,4
189,0
190,20
191,4
192,37
193,54
194,21
195,1
196,42
197,1
198,29
199,6
200,5
201,22
202,51
203,10
204,30
205,26
206,8
207,5
208,58
209,45
210,1
211,8
212,21
213,18
214,8
215,48
216,44
217,25
218,8
219,11
220,5
221,24
222,27
223,1
224,0
225,50
226,18
227,6
228,2
229,13
230,14
231,0
232,22
233,0
234,2
235,9
236,33
237,56
238,43
239,8
240,56
241,27
242,16
243,14
244,0
245,23
246,33
247,0
248,0
249,17
250,20
251,4
252,43
253,33
254,0
255,13
256,23
257,4
258,25
259,0
260,0
261,37
262,41
263,0
264,20
265,33
266,6
267,58
268,37
269,4
270,42
271,9
272,2
273,0
274,8
275,41
276,19
277,0
