idNumber_quora,idNumber_twitter
6326,0
14141,1
7838,3
410,2
13656,4
8933,5
10696,6
16875,7
5140,9
6976,10
14987,11
14645,12
12325,13
10780,14
4483,15
15551,16
906,18
2024,19
7332,20
6470,21
19424,22
157,23
9356,24
6429,25
11992,26
900,27
2085,28
11856,29
2611,30
3207,31
15401,32
12912,33
4533,34
6304,35
3806,36
15110,37
14948,38
13875,39
11805,40
17203,41
6864,42
6142,43
134,44
7617,45
2825,46
9148,47
880,48
5927,49
13283,50
11201,51
16654,52
10783,53
16472,54
1073,55
16184,56
13616,57
17750,58
9400,59
15503,60
11309,61
4837,62
8256,63
4432,64
14821,65
2531,66
4302,67
4249,68
16139,69
2799,70
18961,71
15215,72
2756,73
482,74
2741,75
11382,76
9922,77
459,78
12183,79
11346,80
14429,81
2575,82
10735,84
7856,85
5959,86
2703,87
4036,89
3924,90
13636,91
14759,92
654,93
10631,94
10509,95
3195,96
11555,97
7742,98
4767,99
6013,100
19082,102
16932,103
5508,104
15694,105
11111,106
4826,107
13892,108
5281,109
18059,110
11262,111
8597,112
8796,113
9907,114
14849,115
1117,116
8891,117
6804,118
9581,119
10015,120
9237,121
15888,122
6158,123
15434,124
14862,125
9697,127
13643,128
12270,129
18917,130
2163,132
4380,134
5436,135
888,136
17275,137
13229,139
6414,140
14801,141
5882,142
6197,143
18709,144
104,145
5145,146
16689,147
12714,148
8251,149
4523,150
7957,151
13697,152
5114,153
15820,154
13957,156
1867,157
10749,158
14709,159
5644,160
7531,161
8160,163
7388,164
4654,165
13842,166
12548,167
1616,168
3406,169
5205,170
15041,171
4783,172
5241,173
3201,174
815,175
18512,176
4755,177
15968,179
8072,180
7965,181
8880,182
17301,183
3667,184
10392,185
15969,186
4653,188
18886,187
11926,189
12499,190
8289,191
7108,192
4484,193
7465,194
6096,195
11767,196
2648,197
17957,198
5019,199
3281,200
4923,201
136,202
13228,203
14479,204
17665,205
1866,206
9448,207
1984,208
13873,209
13189,210
15822,211
